combination,consumption
2,0.5166720000000001
2,0.471744
2,0.45377280000000003
2,0.44628480000000004
2,0.441792
2,0.4432896
2,0.43879680000000004
2,0.42831360000000007
2,0.42831360000000007
2,0.434304
2,0.44029440000000003
2,0.46725120000000003
2,0.44029440000000003
2,0.44029440000000003
2,0.43580160000000007
2,0.43729920000000005
2,0.4298112
2,0.4298112
2,0.4687488
2,0.42861312
2,0.42861312
2,0.41968368
2,0.43903080000000005
2,0.43605432000000005
2,0.43903080000000005
2,0.43903080000000005
2,0.4494484800000001
2,0.43010136
2,0.42563664000000007
2,0.43307784000000005
4,2.5187543999999997
4,2.5766568000000003
4,2.5005887999999996
4,2.4718464
4,2.4574752
4,2.4431040000000004
4,2.4718464
4,2.5437024
4,2.5724448
4,2.5724448
4,2.5293311999999997
4,2.5005887999999996
4,2.5005887999999996
4,2.5724448
4,2.5580736
4,2.51496
4,2.573208
4,2.5589124
4,2.5303212
4,2.5875036
4,2.4874343999999997
4,2.5446168
4,2.5589124
4,2.5589124
4,2.5446168
4,2.5303212
4,2.5303212
4,2.5160256
4,2.4874343999999997
4,2.7018684
1,0.9413819999999999
1,0.9297957599999999
1,0.9413819999999999
1,0.9457268399999998
1,0.95441652
1,1.0065546
1,0.9384854399999999
1,0.8660714399999999
1,0.9515199599999998
1,0.9500716800000001
1,1.0427616
1,0.9486234
1,0.9558648
1,0.9515199599999998
1,1.27593468
1,0.9587613599999998
1,0.9587613599999998
1,0.9341406
1,0.9486234
1,0.9457268399999998
1,0.96020964
1,0.9124163999999999
1,0.99062352
1,0.9558648
1,0.95731308
1,0.9732441599999999
1,0.94283028
1,0.9442785599999999
1,0.92255436
1,0.96455448
3,0.39433751999999994
3,0.39288239999999996
3,0.38706191999999995
3,0.39870288
3,0.38706191999999995
3,0.38851704000000004
3,0.37251072
3,0.38997216
3,0.39433751999999994
3,0.40452336
3,0.39724776
3,0.38560679999999997
3,0.5747724
3,0.37105559999999993
3,0.39142728000000004
3,0.38560679999999997
3,0.38851704000000004
3,0.37542096
3,0.37251072
3,0.38485944
3,0.38196576
3,0.37473156
3,0.44852040000000004
3,0.37762524000000003
3,0.37039104000000006
3,0.37183788
3,0.37473156
3,0.38775312000000006
3,0.37328472
3,0.36460368000000004
