combination,consumption
2,0.49248000000000003
2,0.44496
2,0.5630400000000001
2,0.42912
2,0.43344
2,0.42912
2,0.468
2,0.42048
2,0.4248
2,0.4176
2,0.43551144
2,0.436968
2,0.44716392000000005
2,0.48066480000000006
2,0.43405488000000003
2,0.44570736
2,0.42822864000000005
2,0.45299016000000003
2,0.43988112000000007
2,0.43551144
2,0.43551144
2,0.42240240000000007
2,0.42531552000000006
2,0.42822864000000005
2,0.41803272
2,0.43114176000000004
2,0.42677208000000005
2,0.43405488000000003
2,0.42822864000000005
2,0.436968
4,8.036499599999999
4,7.9269732
4,7.872209999999999
4,7.872209999999999
4,7.666848000000002
4,7.831137599999999
4,7.879114800000001
4,7.9205112
4,7.8359472
4,7.863393599999998
4,7.822223999999999
4,7.8359472
4,7.877116799999999
4,7.8359472
4,7.822223999999999
4,7.8359472
4,7.8085008
4,7.849670399999998
4,7.8085008
4,7.877116799999999
4,7.822223999999999
4,7.7810543999999995
4,7.753607999999999
4,7.753607999999999
4,7.8359472
4,7.822223999999999
4,7.849670399999998
4,7.7947776
4,7.759339199999999
4,7.7866128
1,1.06804656
1,1.5494976
1,1.02792564
1,1.3973148000000002
1,0.6986574000000001
1,1.1206188000000001
1,0.933849
1,0.8785098
1,1.0237751999999998
1,0.9739699199999999
1,0.9919551600000001
1,0.95321772
1,1.1953267200000002
1,1.107036
1,1.0424016
1,1.0575287999999998
1,1.0822824
1,1.0424016
1,1.0465272
1,1.2830616
1,1.30644
1,1.148292
1,1.0437767999999998
1,1.0602792
1,1.0492776000000001
1,1.1991744
1,1.0121472
1,1.0217736000000002
1,1.44396
1,1.10016
3,0.39190176000000004
3,0.39775104
3,0.38605248000000003
3,0.40067568000000003
3,0.39336408000000006
3,0.3948264
3,0.3992133600000001
3,0.42114816
3,0.3802032
3,0.38312784000000005
3,0.39190176000000004
3,0.39775104
3,0.45770616000000003
3,0.39190176000000004
3,0.39336408000000006
3,0.37727856000000004
3,0.40652496000000005
3,0.39628872
3,0.40652496000000005
3,0.3904394400000001
3,0.38751480000000005
3,0.38605248000000003
3,0.5717671200000002
3,0.3992133600000001
3,0.38751480000000005
3,0.39628872
3,0.37874088000000006
3,0.39336408000000006
3,0.38312784000000005
3,0.39775104
