combination,consumption
2,0.50122908
2,0.440964
2,0.56002428
2,0.45566280000000003
2,0.43067484000000006
2,0.42332544
2,0.46595196
2,0.42920496
2,0.45433368
2,0.4455684
2,0.42803784
2,0.438264
2,0.4236552
2,0.43388136
2,0.4309596
2,0.42511608
2,0.42949872
2,0.43388136
2,0.45433368
2,0.44118576000000004
2,0.43388136
2,0.4309596
2,0.43680312
2,0.41488992
2,0.42073343999999996
2,0.46163808000000006
2,0.42073343999999996
2,0.41050728
2,0.42073343999999996
2,0.42803784
4,5.2235424
4,5.1262956
4,5.0151564
4,5.0429412
4,5.1124032
4,5.0985108
4,5.0568336
4,5.0707260000000005
4,5.3068968
4,5.154080400000001
4,5.2374348
4,5.2513272
4,5.1957576
4,5.140188
4,5.20965
4,5.154080400000001
4,5.20965
4,5.2235424
4,5.1957576
4,5.2652196
4,5.2652196
4,5.2513272
4,5.362466400000001
4,5.2652196
4,5.20965
4,5.1262956
4,5.2652196
4,5.167972799999999
4,5.0429412
4,5.140188
1,1.0895112
1,0.8808516000000001
1,0.8766504
1,0.9116604
1,0.9130608
1,0.8990568
1,0.9396684000000002
1,0.9620748
1,0.9284652
1,0.9340668
1,0.889254
1,0.9550727999999999
1,0.8878536
1,0.8710488000000001
1,0.8850528000000001
1,0.8906544000000002
1,0.9158616
1,1.0026864
1,1.1833380000000002
1,0.8906544000000002
1,0.8290368
1,0.9074592
1,0.9004572
1,0.8724492
1,0.8696484000000001
1,0.9060587999999999
1,0.8976564000000001
1,0.882252
1,0.8444412
1,0.9340668
3,0.40360032000000007
3,0.40506264000000003
3,0.39190176000000004
3,0.38605248000000003
3,0.38751480000000005
3,0.3948264
3,0.3904394400000001
3,0.37727856000000004
3,0.40213800000000005
3,0.38312784000000005
3,0.40213800000000005
3,0.40213800000000005
3,0.6975266400000001
3,0.020033784
3,0.3948264
3,0.39336408000000006
3,0.39775104
3,0.4094496
3,0.38751480000000005
3,0.37581624
3,0.3992133600000001
3,0.3904394400000001
3,0.40652496000000005
3,0.3948264
3,0.42553512000000004
3,0.39628872
3,0.40067568000000003
3,0.38312784000000005
3,0.40213800000000005
3,0.3948264
