combination,consumption
2,0.69672312
2,0.55561464
2,0.6790845600000001
2,0.51886764
2,0.5394459600000001
2,0.52621704
2,0.57619296
2,0.52033752
2,0.51739776
2,0.54973512
2,0.5056387200000001
2,0.53209656
2,0.52033752
2,0.5144580000000002
2,0.5218074
2,0.51739776
2,0.53062668
2,0.54091584
2,0.7599279600000001
2,0.68937372
2,0.56002428
2,0.52327728
2,0.52621704
2,0.53062668
2,0.51739776
2,0.52327728
2,0.51151824
2,0.5394459600000001
2,0.53209656
2,0.51886764
4,18.89316
4,18.602496000000002
4,18.747828
4,18.747828
4,18.602496000000002
4,18.602496000000002
4,18.602496000000002
4,18.747828
4,18.50112
4,18.50112
4,18.50112
4,18.64566
4,18.50112
4,18.50112
4,18.50112
4,18.64566
4,18.50112
4,18.50112
4,18.50112
4,18.50112
4,18.50112
4,18.64566
4,18.50112
4,18.399744000000002
4,18.399744000000002
4,18.399744000000002
4,18.399744000000002
4,18.399744000000002
4,18.399744000000002
4,18.399744000000002
1,2.2905900000000003
1,1.596024
1,2.7782640000000005
1,2.187144
1,2.3659272
1,2.7773928
1,2.1454991999999997
1,2.2924512
1,2.8067832
1,2.9243448
1,2.6745264
1,1.6946208
1,2.264364
1,3.0386304
1,2.0160144000000004
1,2.1328848
1,2.9509776000000003
1,2.5273224
1,3.213936
1,2.5857576
1,2.8633248
1,2.775672
1,2.6149752
1,1.753056
1,2.4981048
1,2.4250608
1,2.4379488
1,1.8719964
1,2.17674
1,2.4089256
3,0.39663756
3,0.38810772
3,0.38099952000000004
3,0.37957788000000003
3,0.38526444
3,0.39663756
3,0.38952936
3,0.38242116000000004
3,0.37389131999999997
3,0.390951
3,0.38952936
3,0.3838428
3,0.49899563999999996
3,0.37531296
3,0.39379428
3,0.37957788000000003
3,0.39379428
3,0.39521592
3,0.39379428
3,0.40232411999999995
3,0.40090248
3,0.38952936
3,0.82028628
3,0.37957788000000003
3,0.39379428
3,0.39379428
3,0.39379428
3,0.37815624
3,0.38810772
3,0.38099952000000004
