combination,consumption
2,0.5365061999999999
2,0.44537364000000007
2,0.5585544
2,0.45125316000000004
2,0.440964
2,0.44537364000000007
2,0.4821206400000001
2,0.42479532
2,0.44537364000000007
2,0.4336146
2,0.43067484000000006
2,0.47918088
2,0.44978328
2,0.440964
2,0.4439037600000001
2,0.43655436000000003
2,0.45125316000000004
2,0.45419292000000006
2,0.45125316000000004
2,0.46154231999999995
2,0.46301220000000004
2,0.43655436000000003
2,0.44978328
2,0.4644820800000001
2,0.4439037600000001
2,0.43949412000000004
2,0.43949412000000004
2,0.4336146
2,0.44243388
2,0.45566280000000003
4,9.5728248
4,9.0815508
4,9.3201696
4,9.3061332
4,9.3201696
4,9.3763152
4,9.3482424
4,9.3903516
4,9.2920968
4,9.2920968
4,9.3201696
4,9.3622788
4,9.264024000000001
4,9.278060400000001
4,9.278060400000001
4,9.264024000000001
4,9.3061332
4,9.3622788
4,9.3201696
4,9.2499876
4,9.264024000000001
4,9.264024000000001
4,9.278060400000001
4,9.2219148
4,9.334206
4,9.2920968
4,9.334206
4,9.3201696
4,9.3201696
4,9.3061332
1,1.29016584
1,1.1010168
1,1.31133924
1,1.31557392
1,1.7362188
1,1.1151323999999998
1,1.3108445999999998
1,1.1844468
1,1.7767511999999999
1,1.33820388
1,1.21693356
1,1.07451144
1,1.31987232
1,1.5088283999999998
1,1.3466646
1,1.2902598
1,1.22398416
1,1.1562984
1,1.3565354399999998
1,1.0900227599999999
1,1.5544440000000002
1,1.1721348
1,1.3513860000000002
1,1.2589596
1,1.54044
1,0.09256644000000001
1,1.3709916000000002
1,1.106316
1,1.3121748
1,0.9536724
3,0.38590272
3,0.37880892000000005
3,0.38306519999999994
3,0.38448395999999996
3,0.38164644000000003
3,0.38022768
3,0.37597139999999996
3,0.41427792
3,0.39299652
3,0.39583404
3,0.37739016
3,0.37880892000000005
3,0.47386584
3,0.39441528
3,0.38496276
3,0.37227168
3,0.37368179999999995
3,0.37227168
3,0.4018842
3,0.387783
3,0.41034492
3,0.38214252
3,0.5048229599999999
3,0.387783
3,0.38637288000000003
3,0.39342348
3,0.37932228
3,0.3948336
3,0.38637288000000003
3,0.387783
