combination,consumption
2,0.53725464
2,0.45837792000000005
2,0.45093672000000007
2,0.45540144
2,0.44498376000000006
2,0.45837792000000005
2,0.44647200000000004
2,0.43605432000000005
2,0.44498376000000006
2,0.4568896800000001
2,0.46135440000000005
2,0.4598661600000001
2,0.44647200000000004
2,0.46581912000000003
2,0.45242496000000004
2,0.46730736
2,0.43754256
2,0.5089780800000001
2,0.49111920000000003
2,0.46135440000000005
2,0.4598661600000001
2,0.43754256
2,0.44647200000000004
2,0.46730736
2,0.44796024
2,0.4494484800000001
2,0.4539132
2,0.44796024
2,0.44200728000000006
2,0.4539132
4,10.864656000000002
4,10.2590424
4,10.4579712
4,10.5574356
4,10.443762
4,10.443762
4,10.4153436
4,10.5290172
4,10.372716
4,10.443762
4,10.4579712
4,10.3869252
4,10.472180400000001
4,10.4295528
4,10.443762
4,10.372716
4,10.4295528
4,10.4153436
4,10.4579712
4,10.472180400000001
4,10.4295528
4,10.4295528
4,10.372716
4,10.4011344
4,10.380258
4,10.2813984
4,10.380258
4,10.3378896
4,10.380258
4,10.3661352
1,1.1731068
1,1.533096
1,1.4084424000000002
1,1.37334924
1,1.585188
1,1.296972
1,1.4987232000000001
1,1.5275448
1,1.2393288
1,1.37911356
1,1.25100864
1,1.8607680000000002
1,1.4599871999999998
1,1.1336371200000002
1,0.95042304
1,1.13506848
1,1.2309695999999999
1,1.2037737599999998
1,1.42706592
1,1.07065728
1,1.0132329599999998
1,0.9563097599999999
1,1.28219508
1,1.2238487999999998
1,1.3092336
1,1.31777208
1,0.78411708
1,1.22811804
1,1.21236192
1,1.3125571200000001
3,0.4051152
3,0.39788100000000004
3,0.38775312000000006
3,0.38196576
3,0.40656204
3,0.3906468
3,0.38919996000000007
3,0.3761784
3,0.39354047999999997
3,0.38630628000000006
3,0.39643416000000004
3,0.46732932000000005
3,0.40945572
3,0.38051892000000004
3,0.4051152
3,0.46588248
3,0.38919996000000007
3,0.3834126
3,0.40656204
3,0.4051152
3,0.40800888
3,0.38919996000000007
3,0.51073452
3,0.39272688
3,0.39848112
3,0.39991968
3,0.39848112
3,0.38984976
3,0.39272688
3,0.39704256
