treatment,consumption
most.js,0.63015624
most.js,0.60352992
most.js,0.60944688
most.js,0.61092612
most.js,0.6020506800000001
most.js,0.6020506800000001
most.js,0.776601
most.js,0.61092612
most.js,0.61240536
most.js,0.62276004
most.js,0.60057144
most.js,0.60057144
most.js,0.71151444
most.js,0.61240536
most.js,0.63755244
most.js,0.6212808
most.js,0.61536384
most.js,0.62423928
most.js,0.63755244
most.js,0.6286770000000002
most.js,0.60500916
most.js,0.6064884
most.js,0.60057144
most.js,0.6020506800000001
most.js,0.60796764
most.js,0.5828205599999999
most.js,0.5828205599999999
most.js,0.60500916
most.js,0.64938636
most.js,0.6064884
most.js,0.41038704
most.js,0.39751776
most.js,0.40323744
most.js,0.39465792
most.js,0.39036816
most.js,0.39465792
most.js,0.3860784
most.js,0.39751776
most.js,0.39608784
most.js,0.41038704
most.js,0.393228
most.js,0.38750831999999996
most.js,0.4146768
most.js,0.39465792
most.js,0.38893824
most.js,0.39179808
most.js,0.39751776
most.js,0.38750831999999996
most.js,0.39179808
most.js,0.38321856000000004
most.js,0.40180752
most.js,0.38035872
most.js,0.5862672
most.js,0.39608784
most.js,0.4218264
most.js,0.4146768
most.js,0.4146768
most.js,0.39608784
most.js,0.40180752
most.js,0.39751776
rxjs,18.164016
rxjs,17.871048000000002
rxjs,17.871048000000002
rxjs,18.017532
rxjs,17.871048000000002
rxjs,18.017532
rxjs,17.871048000000002
rxjs,17.871048000000002
rxjs,17.871048000000002
rxjs,17.712936000000003
rxjs,17.712936000000003
rxjs,17.858124
rxjs,17.858124
rxjs,17.712936000000003
rxjs,17.858124
rxjs,17.858124
rxjs,17.712936000000003
rxjs,17.712936000000003
rxjs,17.712936000000003
rxjs,17.616312
rxjs,17.858124
rxjs,17.712936000000003
rxjs,17.858124
rxjs,17.712936000000003
rxjs,17.712936000000003
rxjs,17.712936000000003
rxjs,17.567748
rxjs,17.712936000000003
rxjs,17.712936000000003
rxjs,17.712936000000003
rxjs,1.36134432
rxjs,2.5456032
rxjs,2.006046
rxjs,1.521828
rxjs,2.7254556
rxjs,2.3934204
rxjs,2.4625944
rxjs,2.1305592
rxjs,2.8084644000000005
rxjs,1.72935
rxjs,2.0475503999999995
rxjs,2.434104
rxjs,1.595232
rxjs,1.760256
rxjs,1.636488
rxjs,2.8466639999999996
rxjs,1.981512
rxjs,2.5144704
rxjs,2.2274928
rxjs,1.9405151999999999
rxjs,2.4598079999999998
rxjs,2.2411584
rxjs,2.0635055999999996
rxjs,2.9791008
rxjs,1.6808688
rxjs,1.27226736
rxjs,1.8858528
rxjs,1.5305472
rxjs,2.4598079999999998
rxjs,1.571544
