treatment,consumption
most.js,0.69080508
most.js,0.54583956
most.js,0.6878466
most.js,0.52621704
most.js,0.5144580000000002
most.js,0.5247471600000001
most.js,0.5659038000000001
most.js,0.5218074
most.js,0.51739776
most.js,0.54532548
most.js,0.5100483600000001
most.js,0.5100483600000001
most.js,0.51592788
most.js,0.5144580000000002
most.js,0.51886764
most.js,0.52621704
most.js,0.51886764
most.js,0.5247471600000001
most.js,0.6320484
most.js,0.5732532
most.js,0.51298812
most.js,0.52621704
most.js,0.51298812
most.js,0.51739776
most.js,0.52621704
most.js,0.5071086000000001
most.js,0.5144580000000002
most.js,0.5071086000000001
most.js,0.49975920000000007
most.js,0.5585544
most.js,0.39465792
most.js,0.38464848
most.js,0.42039648
most.js,0.38178864000000007
most.js,0.40466736
most.js,0.3860784
most.js,0.38178864000000007
most.js,0.3860784
most.js,0.39751776
most.js,0.39465792
most.js,0.39608784
most.js,0.36891936000000003
most.js,0.64775376
most.js,0.39179808
most.js,0.3860784
most.js,0.38750831999999996
most.js,0.39608784
most.js,0.393228
most.js,0.37606896
most.js,0.38750831999999996
most.js,0.37749888
most.js,0.38035872
most.js,0.65490336
most.js,0.39751776
most.js,0.38321856000000004
most.js,0.38321856000000004
most.js,0.37749888
most.js,0.4003776
most.js,0.39751776
most.js,0.3789288
rxjs,5.2415748
rxjs,5.198256000000001
rxjs,5.1838164
rxjs,5.198256000000001
rxjs,5.1838164
rxjs,5.1838164
rxjs,5.1693768
rxjs,5.140497600000001
rxjs,5.1693768
rxjs,5.212695600000001
rxjs,5.1693768
rxjs,5.1838164
rxjs,5.221944
rxjs,5.16456
rxjs,5.193251999999999
rxjs,5.16456
rxjs,5.16456
rxjs,5.121522
rxjs,5.1789060000000005
rxjs,5.150214
rxjs,5.193251999999999
rxjs,5.207598
rxjs,5.150214
rxjs,5.221944
rxjs,5.1789060000000005
rxjs,5.136048000000001
rxjs,5.1503148
rxjs,5.2102116
rxjs,5.1684912
rxjs,5.1684912
rxjs,2.04984
rxjs,2.39148
rxjs,1.7901936
rxjs,1.7218655999999999
rxjs,1.8995184000000003
rxjs,1.8038592
rxjs,2.0225087999999998
rxjs,1.4485535999999999
rxjs,2.7877823999999998
rxjs,1.6945344
rxjs,1.7082
rxjs,1.9809864
rxjs,2.4287436
rxjs,2.1573756
rxjs,1.9674180000000001
rxjs,2.3337648
rxjs,2.6187012000000003
rxjs,2.4694488
rxjs,1.3269895200000001
rxjs,1.8724392000000003
rxjs,2.1980808
rxjs,1.9402811999999998
rxjs,2.37447
rxjs,1.9809864
rxjs,2.4558804
rxjs,2.3201964000000004
rxjs,2.4694488
rxjs,1.9674180000000001
rxjs,2.1553920000000004
rxjs,2.0880360000000002
