treatment,consumption
most.js,0.69672312
most.js,0.55561464
most.js,0.6790845600000001
most.js,0.51886764
most.js,0.5394459600000001
most.js,0.52621704
most.js,0.57619296
most.js,0.52033752
most.js,0.51739776
most.js,0.54973512
most.js,0.5056387200000001
most.js,0.53209656
most.js,0.52033752
most.js,0.5144580000000002
most.js,0.5218074
most.js,0.51739776
most.js,0.53062668
most.js,0.54091584
most.js,0.7599279600000001
most.js,0.68937372
most.js,0.56002428
most.js,0.52327728
most.js,0.52621704
most.js,0.53062668
most.js,0.51739776
most.js,0.52327728
most.js,0.51151824
most.js,0.5394459600000001
most.js,0.53209656
most.js,0.51886764
most.js,0.39663756
most.js,0.38810772
most.js,0.38099952000000004
most.js,0.37957788000000003
most.js,0.38526444
most.js,0.39663756
most.js,0.38952936
most.js,0.38242116000000004
most.js,0.37389131999999997
most.js,0.390951
most.js,0.38952936
most.js,0.3838428
most.js,0.49899563999999996
most.js,0.37531296
most.js,0.39379428
most.js,0.37957788000000003
most.js,0.39379428
most.js,0.39521592
most.js,0.39379428
most.js,0.40232411999999995
most.js,0.40090248
most.js,0.38952936
most.js,0.82028628
most.js,0.37957788000000003
most.js,0.39379428
most.js,0.39379428
most.js,0.39379428
most.js,0.37815624
most.js,0.38810772
most.js,0.38099952000000004
rxjs,18.89316
rxjs,18.602496000000002
rxjs,18.747828
rxjs,18.747828
rxjs,18.602496000000002
rxjs,18.602496000000002
rxjs,18.602496000000002
rxjs,18.747828
rxjs,18.50112
rxjs,18.50112
rxjs,18.50112
rxjs,18.64566
rxjs,18.50112
rxjs,18.50112
rxjs,18.50112
rxjs,18.64566
rxjs,18.50112
rxjs,18.50112
rxjs,18.50112
rxjs,18.50112
rxjs,18.50112
rxjs,18.64566
rxjs,18.50112
rxjs,18.399744000000002
rxjs,18.399744000000002
rxjs,18.399744000000002
rxjs,18.399744000000002
rxjs,18.399744000000002
rxjs,18.399744000000002
rxjs,18.399744000000002
rxjs,2.2905900000000003
rxjs,1.596024
rxjs,2.7782640000000005
rxjs,2.187144
rxjs,2.3659272
rxjs,2.7773928
rxjs,2.1454991999999997
rxjs,2.2924512
rxjs,2.8067832
rxjs,2.9243448
rxjs,2.6745264
rxjs,1.6946208
rxjs,2.264364
rxjs,3.0386304
rxjs,2.0160144000000004
rxjs,2.1328848
rxjs,2.9509776000000003
rxjs,2.5273224
rxjs,3.213936
rxjs,2.5857576
rxjs,2.8633248
rxjs,2.775672
rxjs,2.6149752
rxjs,1.753056
rxjs,2.4981048
rxjs,2.4250608
rxjs,2.4379488
rxjs,1.8719964
rxjs,2.17674
rxjs,2.4089256
