treatment,consumption
most.js,0.6027372000000001
most.js,0.45093672000000007
most.js,0.44647200000000004
most.js,0.44349552000000003
most.js,0.44349552000000003
most.js,0.50004864
most.js,0.4345660800000001
most.js,0.4315896000000001
most.js,0.44051904000000003
most.js,0.44051904000000003
most.js,0.4494484800000001
most.js,0.4315896000000001
most.js,0.43307784000000005
most.js,0.43010136
most.js,0.42563664000000007
most.js,0.42712488000000004
most.js,0.42712488000000004
most.js,0.42712488000000004
most.js,0.46730736
most.js,0.43605432000000005
most.js,0.4345660800000001
most.js,0.43605432000000005
most.js,0.47921328
most.js,0.4568896800000001
most.js,0.43605432000000005
most.js,0.43307784000000005
most.js,0.42712488000000004
most.js,0.4345660800000001
most.js,0.43010136
most.js,0.42861312
most.js,0.40711248
most.js,0.395604
most.js,0.39848112
most.js,0.38553408000000006
most.js,0.38841119999999996
most.js,0.39416544000000003
most.js,0.39272688
most.js,0.39848112
most.js,0.38984976
most.js,0.395604
most.js,0.38841119999999996
most.js,0.39704256
most.js,0.54377568
most.js,0.38841119999999996
most.js,0.395604
most.js,0.38984976
most.js,0.40567392
most.js,0.39128831999999997
most.js,0.40855104000000003
most.js,0.39991968
most.js,0.38841119999999996
most.js,0.3812184
most.js,0.46033920000000006
most.js,0.38697264000000003
most.js,0.38841119999999996
most.js,0.38841119999999996
most.js,0.38265696
most.js,0.40135824000000003
most.js,0.40711248
most.js,0.40423536
rxjs,5.29605
rxjs,4.9994712
rxjs,5.154822
rxjs,5.1265764
rxjs,5.084208
rxjs,5.0983308
rxjs,5.055962399999999
rxjs,5.013594
rxjs,5.0700852
rxjs,5.225436
rxjs,5.2819272
rxjs,5.225436
rxjs,5.2536816
rxjs,5.112453599999999
rxjs,5.2113132
rxjs,5.2536816
rxjs,5.154822
rxjs,5.1689448
rxjs,5.2113132
rxjs,5.154822
rxjs,5.154822
rxjs,5.1830676
rxjs,5.2113132
rxjs,5.225436
rxjs,5.154822
rxjs,5.29605
rxjs,5.2536816
rxjs,5.1971904
rxjs,5.1971904
rxjs,5.1830676
rxjs,0.9203644799999999
rxjs,0.97046208
rxjs,0.94183488
rxjs,1.1164608
rxjs,1.0019520000000002
rxjs,0.9017568
rxjs,0.9375408000000001
rxjs,1.0477555200000002
rxjs,0.9232272
rxjs,0.91750176
rxjs,0.90748224
rxjs,1.03487328
rxjs,0.93324672
rxjs,0.93324672
rxjs,0.8988940799999999
rxjs,0.9404035199999999
rxjs,0.9361094400000001
rxjs,0.91463904
rxjs,0.91219428
rxjs,0.9207327599999999
rxjs,0.93069432
rxjs,0.93780972
rxjs,0.9321174
rxjs,0.92642508
rxjs,0.9136173599999999
rxjs,0.925002
rxjs,0.9420789599999999
rxjs,0.93069432
rxjs,0.91930968
rxjs,0.6660014400000001
