treatment,consumption
most.js,0.49605048
most.js,0.45253728
most.js,0.5134557599999999
most.js,0.4496364
most.js,0.43223111999999997
most.js,0.43368155999999997
most.js,0.47719476
most.js,0.41917715999999994
most.js,0.44818596
most.js,0.42933024
most.js,0.43948332
most.js,0.44383463999999995
most.js,0.44528508
most.js,0.4496364
most.js,0.44528508
most.js,0.48154608
most.js,0.45108684
most.js,0.48009563999999993
most.js,0.46123992
most.js,0.44528508
most.js,0.44383463999999995
most.js,0.43513199999999996
most.js,0.4206276
most.js,0.42933024
most.js,0.43223111999999997
most.js,0.43223111999999997
most.js,0.42933024
most.js,0.46123992
most.js,0.42497892
most.js,0.42933024
most.js,0.39277008
most.js,0.38992392
most.js,0.39419316
most.js,0.39277008
most.js,0.391347
most.js,0.38992392
most.js,0.38992392
most.js,0.38992392
most.js,0.37996236000000005
most.js,0.39277008
most.js,0.37569312
most.js,0.39561624
most.js,0.5678089199999999
most.js,0.38565467999999997
most.js,0.38992392
most.js,0.38992392
most.js,0.41127011999999996
most.js,0.41838552
most.js,0.38707775999999994
most.js,0.38707775999999994
most.js,0.38565467999999997
most.js,0.38280852000000004
most.js,0.0127792584
most.js,0.37853928
most.js,0.391347
most.js,0.38280852000000004
most.js,0.38280852000000004
most.js,0.391347
most.js,0.39703932
most.js,0.40700088
rxjs,8.2181232
rxjs,8.043840000000001
rxjs,8.0304336
rxjs,8.0304336
rxjs,7.9902144
rxjs,7.976808
rxjs,8.0304336
rxjs,8.017027200000001
rxjs,7.9902144
rxjs,7.976808
rxjs,8.017027200000001
rxjs,7.976808
rxjs,7.923182400000001
rxjs,7.9634016
rxjs,8.0036208
rxjs,7.9634016
rxjs,7.9634016
rxjs,7.9634016
rxjs,8.0036208
rxjs,8.017027200000001
rxjs,8.0706528
rxjs,7.9499952
rxjs,7.9902144
rxjs,7.9902144
rxjs,7.9634016
rxjs,7.9902144
rxjs,8.0572464
rxjs,8.0036208
rxjs,7.9634016
rxjs,7.936588799999999
rxjs,1.4102143200000001
rxjs,1.36016496
rxjs,1.3100652
rxjs,1.21199328
rxjs,1.1417328
rxjs,0.97632792
rxjs,1.15197912
rxjs,0.72309744
rxjs,1.1885731199999998
rxjs,1.1417328
rxjs,0.82556064
rxjs,1.12124016
rxjs,1.08025488
rxjs,1.1505153600000002
rxjs,0.8899660799999999
rxjs,0.9294876
rxjs,1.2807899999999999
rxjs,1.1227039200000002
rxjs,1.17686304
rxjs,1.2368772000000001
rxjs,1.14026904
rxjs,0.97193664
rxjs,1.1622254399999998
rxjs,1.16076168
rxjs,1.10806632
rxjs,1.1359332000000002
rxjs,1.1388384
rxjs,1.3555706400000003
rxjs,1.15886988
rxjs,1.20249108
