treatment,consumption
most.js,0.5365061999999999
most.js,0.44537364000000007
most.js,0.5585544
most.js,0.45125316000000004
most.js,0.440964
most.js,0.44537364000000007
most.js,0.4821206400000001
most.js,0.42479532
most.js,0.44537364000000007
most.js,0.4336146
most.js,0.43067484000000006
most.js,0.47918088
most.js,0.44978328
most.js,0.440964
most.js,0.4439037600000001
most.js,0.43655436000000003
most.js,0.45125316000000004
most.js,0.45419292000000006
most.js,0.45125316000000004
most.js,0.46154231999999995
most.js,0.46301220000000004
most.js,0.43655436000000003
most.js,0.44978328
most.js,0.4644820800000001
most.js,0.4439037600000001
most.js,0.43949412000000004
most.js,0.43949412000000004
most.js,0.4336146
most.js,0.44243388
most.js,0.45566280000000003
most.js,0.38590272
most.js,0.37880892000000005
most.js,0.38306519999999994
most.js,0.38448395999999996
most.js,0.38164644000000003
most.js,0.38022768
most.js,0.37597139999999996
most.js,0.41427792
most.js,0.39299652
most.js,0.39583404
most.js,0.37739016
most.js,0.37880892000000005
most.js,0.47386584
most.js,0.39441528
most.js,0.38496276
most.js,0.37227168
most.js,0.37368179999999995
most.js,0.37227168
most.js,0.4018842
most.js,0.387783
most.js,0.41034492
most.js,0.38214252
most.js,0.5048229599999999
most.js,0.387783
most.js,0.38637288000000003
most.js,0.39342348
most.js,0.37932228
most.js,0.3948336
most.js,0.38637288000000003
most.js,0.387783
rxjs,9.5728248
rxjs,9.0815508
rxjs,9.3201696
rxjs,9.3061332
rxjs,9.3201696
rxjs,9.3763152
rxjs,9.3482424
rxjs,9.3903516
rxjs,9.2920968
rxjs,9.2920968
rxjs,9.3201696
rxjs,9.3622788
rxjs,9.264024000000001
rxjs,9.278060400000001
rxjs,9.278060400000001
rxjs,9.264024000000001
rxjs,9.3061332
rxjs,9.3622788
rxjs,9.3201696
rxjs,9.2499876
rxjs,9.264024000000001
rxjs,9.264024000000001
rxjs,9.278060400000001
rxjs,9.2219148
rxjs,9.334206
rxjs,9.2920968
rxjs,9.334206
rxjs,9.3201696
rxjs,9.3201696
rxjs,9.3061332
rxjs,1.29016584
rxjs,1.1010168
rxjs,1.31133924
rxjs,1.31557392
rxjs,1.7362188
rxjs,1.1151323999999998
rxjs,1.3108445999999998
rxjs,1.1844468
rxjs,1.7767511999999999
rxjs,1.33820388
rxjs,1.21693356
rxjs,1.07451144
rxjs,1.31987232
rxjs,1.5088283999999998
rxjs,1.3466646
rxjs,1.2902598
rxjs,1.22398416
rxjs,1.1562984
rxjs,1.3565354399999998
rxjs,1.0900227599999999
rxjs,1.5544440000000002
rxjs,1.1721348
rxjs,1.3513860000000002
rxjs,1.2589596
rxjs,1.54044
rxjs,0.09256644000000001
rxjs,1.3709916000000002
rxjs,1.106316
rxjs,1.3121748
rxjs,0.9536724
