treatment,consumption
most.js,0.49346496
most.js,0.45017856
most.js,0.54973728
most.js,0.44152127999999996
most.js,0.43513199999999996
most.js,0.42352848
most.js,0.47429388
most.js,0.4278798
most.js,0.42933024
most.js,0.42642936
most.js,0.43078067999999997
most.js,0.44238419999999995
most.js,0.41917715999999994
most.js,0.43803288
most.js,0.42207804
most.js,0.41917715999999994
most.js,0.44528508
most.js,0.507654
most.js,0.45108684
most.js,0.44383463999999995
most.js,0.44093375999999995
most.js,0.43948332
most.js,0.44238419999999995
most.js,0.43513199999999996
most.js,0.47284343999999995
most.js,0.44093375999999995
most.js,0.42933024
most.js,0.44383463999999995
most.js,0.42933024
most.js,0.44238419999999995
most.js,0.38565467999999997
most.js,0.38992392
most.js,0.37427003999999997
most.js,0.38707775999999994
most.js,0.36715464
most.js,0.37996236000000005
most.js,0.38138544
most.js,0.37569312
most.js,0.37853928
most.js,0.39703932
most.js,0.38850084
most.js,0.39703932
most.js,0.49238568
most.js,0.3273084
most.js,0.3415392
most.js,0.36430848
most.js,0.37284696
most.js,0.38280852000000004
most.js,0.39419316
most.js,0.36715464
most.js,0.39277008
most.js,0.38280852000000004
most.js,0.53650116
most.js,0.39277008
most.js,0.39703932
most.js,0.39703932
most.js,0.38992392
most.js,0.42407784
most.js,0.38850084
most.js,0.39419316
rxjs,8.2666728
rxjs,8.1453024
rxjs,8.09136
rxjs,8.158788
rxjs,7.9971732
rxjs,8.0105688
rxjs,8.0105688
rxjs,8.0239644
rxjs,7.9971732
rxjs,8.0105688
rxjs,8.0105688
rxjs,7.9837776
rxjs,7.9971732
rxjs,8.037360000000001
rxjs,7.9971732
rxjs,8.0239644
rxjs,8.02179
rxjs,8.062236
rxjs,7.976808
rxjs,8.0036208
rxjs,7.9902144
rxjs,7.8561504
rxjs,8.017027200000001
rxjs,7.9902144
rxjs,8.0036208
rxjs,7.8025248
rxjs,7.9902144
rxjs,7.976808
rxjs,7.9902144
rxjs,8.0304336
rxjs,1.1682565200000001
rxjs,0.9254250000000002
rxjs,1.1416042800000001
rxjs,1.7323956000000003
rxjs,1.1578917600000003
rxjs,1.3370540400000004
rxjs,1.0187078400000003
rxjs,0.9787294800000003
rxjs,1.1075486400000003
rxjs,1.1578917600000003
rxjs,1.2881916
rxjs,1.2777307200000003
rxjs,1.20265668
rxjs,1.14230304
rxjs,1.1408310000000002
rxjs,1.1717438400000002
rxjs,1.3910778000000001
rxjs,1.1614395600000003
rxjs,1.1216944800000002
rxjs,1.15407936
rxjs,1.0863655200000002
rxjs,1.20265668
rxjs,1.42346268
rxjs,1.3837176000000002
rxjs,1.3145317200000004
rxjs,1.2468178800000003
rxjs,1.17321588
rxjs,1.5456420000000002
rxjs,1.2585942
rxjs,1.1570234400000003
