treatment,consumption
most.js,0.7084821600000001
most.js,0.5291568
most.js,0.67173516
most.js,0.53062668
most.js,0.51739776
most.js,0.52033752
most.js,0.57178332
most.js,0.51886764
most.js,0.5144580000000002
most.js,0.5218074
most.js,0.5659038000000001
most.js,0.5350363200000001
most.js,0.51151824
most.js,0.51151824
most.js,0.52621704
most.js,0.51739776
most.js,0.51886764
most.js,0.5276869200000001
most.js,0.65997612
most.js,0.54973512
most.js,0.51739776
most.js,0.5100483600000001
most.js,0.52327728
most.js,0.51886764
most.js,0.5350363200000001
most.js,0.51739776
most.js,0.51298812
most.js,0.51886764
most.js,0.5218074
most.js,0.51739776
most.js,0.40274136
most.js,0.38169216
most.js,0.39867156
most.js,0.38732148
most.js,0.39725279999999996
most.js,0.37739016
most.js,0.37171512
most.js,0.44123436
most.js,0.39712824
most.js,0.39151512
most.js,0.37748232000000004
most.js,0.40069404
most.js,0.5875902
most.js,0.38370348
most.js,0.38228759999999995
most.js,0.389367
most.js,0.38653524
most.js,0.38795112
most.js,0.4106052
most.js,0.39078288
most.js,0.39219876
most.js,0.37379231999999996
most.js,0.65740896
most.js,0.36944136
most.js,0.38208384
most.js,0.38551103999999997
most.js,0.38409371999999997
most.js,0.38692836
most.js,0.38834568
most.js,0.37417248
rxjs,5.692420800000001
rxjs,5.6492964
rxjs,5.606172000000001
rxjs,5.5567872000000005
rxjs,5.571072000000001
rxjs,5.5567872000000005
rxjs,5.571072000000001
rxjs,5.5282176
rxjs,5.9853312
rxjs,5.571072000000001
rxjs,5.571072000000001
rxjs,5.656780800000001
rxjs,5.5567872000000005
rxjs,5.571072000000001
rxjs,5.5425024
rxjs,5.5567872000000005
rxjs,5.513932800000001
rxjs,5.4853632
rxjs,5.4996480000000005
rxjs,5.537376
rxjs,5.5799712
rxjs,5.5799712
rxjs,5.778748799999999
rxjs,5.5231776
rxjs,5.4237888
rxjs,5.5089792
rxjs,5.5657728
rxjs,5.551574400000001
rxjs,5.5657728
rxjs,5.551574400000001
rxjs,2.5685531999999998
rxjs,2.2928328
rxjs,2.3508792
rxjs,2.1622283999999996
rxjs,2.3799023999999998
rxjs,3.0619475999999994
rxjs,1.9300428
rxjs,2.5975764
rxjs,2.4336
rxjs,2.4048000000000003
rxjs,2.3472
rxjs,1.4040000000000001
rxjs,2.6496
rxjs,2.4336
rxjs,1.8432000000000002
rxjs,2.5488
rxjs,2.4624
rxjs,2.5343999999999998
rxjs,2.290176
rxjs,0.135836064
rxjs,2.1613536
rxjs,2.2472352
rxjs,2.3331168
rxjs,1.8284544000000003
rxjs,3.1283712
rxjs,2.5284096
rxjs,2.1570047999999997
rxjs,2.4712704
rxjs,2.3427072
rxjs,2.642688
